year;gross_production;use_of_electricity_in_electricity_generation;net_prod_total;central_power_stations;public_power_stations;industrial_autoproducers;total_wind_turbines;thereof_offshore_wind_turbines;hydro_power;solar_photovoltaic;
2005;36027;1678;34349;18855;5513;3344;6614;;23;0;
2006;45591;2241;43349;28815;5437;2966;6108;;23;0;
2007;39227;1832;37396;22730;4848;2619;7171;;28;0;
2008;36411;1675;34736;20549;4943;2291;6928;;26;0;
2009;36204;1754;34451;20963;4616;2133;6721;;19;0;
2010;38568;1805;36763;21075;5664;2193;7809;;21;0;
2011;34930;1548;33382;16931;4642;2018;9774;;17;0;
2012;30505;1366;29139;13411;3496;1840;10270;;17;104;
2013;34581;1625;32956;16514;3180;1607;11123;;13;518;
2014;31905;1290;30615;12976;2354;1596;13079;;15;596;
2015;28730;1026;27704;9206;2117;1626;14133;;18;604;
2016;30087;1157;28930;11155;2622;1609;12782;4650;19;744;
2017;30406;973;29433;9516;2775;1595;14780;5180;15;751;
2018;30137;1052;29085;9573;2950;1693;13902;4630;14;953;
2019;29278;822;28457;6588;2997;1742;16150;6198;16;963;
2020;29111;838;28273;5965;2813;1967;16330;6603;17;1181;
2021;33132;1097;32036;9210;2971;2341;16087;7593;16;1410;
2022;35298;964;34333;7946;2810;2129;19048;8743;15;2385;
2023;34080;791;33289;5705;2498;1974;19434;8573;20;3658;
2024;35513;803;34710;5933;2610;1815;20553;9732;23;3776;
